DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2022-11-01 08:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	35.53	EUR	2022-10-31 11:43:14.014
2022-11-01 09:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	61.65	EUR	2022-10-31 11:43:14.014
2022-11-01 10:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	23.31	EUR	2022-10-31 11:43:14.014
2022-11-01 11:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	25.72	EUR	2022-10-31 11:43:14.014
2022-11-01 12:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	25.00	EUR	2022-10-31 11:43:14.014
2022-11-01 13:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	182.48	EUR	2022-10-31 11:43:14.014
2022-11-01 14:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	182.49	EUR	2022-10-31 11:43:14.014
2022-11-01 15:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	196.13	EUR	2022-10-31 11:43:14.014
2022-11-01 16:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	203.55	EUR	2022-10-31 11:43:14.014
2022-11-01 17:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	110.00	EUR	2022-10-31 11:43:14.014
2022-11-01 18:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	65.69	EUR	2022-10-31 11:43:14.014
2022-11-01 19:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	53.76	EUR	2022-10-31 11:43:14.014
2022-11-01 20:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	182.49	EUR	2022-10-31 11:43:14.014
2022-11-01 21:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	40.56	EUR	2022-10-31 11:43:14.014
2022-11-01 22:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	28.24	EUR	2022-10-31 11:43:14.014
2022-11-01 03:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	98.00	EUR	2022-10-31 12:50:45.045
2022-11-01 07:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	93.70	EUR	2022-10-31 12:50:45.045
2022-11-01 11:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	85.91	EUR	2022-10-31 12:50:45.045
2022-11-01 15:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	96.39	EUR	2022-10-31 12:50:45.045
2022-11-01 19:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	178.59	EUR	2022-10-31 12:50:45.045
2022-11-01 00:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	125.40	EUR	2022-10-31 13:01:55.055
2022-11-01 04:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	93.70	EUR	2022-10-31 13:01:55.055
2022-11-01 08:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	95.92	EUR	2022-10-31 13:01:55.055
2022-11-01 12:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	80.88	EUR	2022-10-31 13:01:55.055
2022-11-01 02:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	68.61	EUR	2022-10-31 11:03:54.054
2022-11-01 06:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	191.09	EUR	2022-10-31 11:03:54.054
2022-11-01 10:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	200.06	EUR	2022-10-31 11:03:54.054
